RunTime,rad,value,ID,coefficients..Intercept.,coefficients.x1,R.squared,std.error..Intercept.,std.error.x1,timepoint
289.3606544,0,264.6013211,26,494.7589794,-0.795190311,0.99100827,2.195108699,0.007651402,june
163.7101685,112,199.2756399,26,273.8670573,-0.456839474,0.982631932,0.989261102,0.006135231,june
176.0605834,180,199.7273358,26,166.4263451,0.189120754,0.93002216,0.909682523,0.005240344,june
185.5268897,272,204.8799207,26,79.7357316,0.674830515,0.992352994,1.095342156,0.005984038,june
193.126955,351,210.843958,26,48.55567806,0.839992608,0.9959931,1.026110129,0.005381936,june
214.6270411,430,235.3292193,26,-30.75919748,1.239585331,0.997620492,1.297428478,0.006115391,june
225.7942557,482,250.0705628,26,-66.37947825,1.402004502,0.998395856,1.267775738,0.00567684,june
250.8444116,541,228.6077421,26,-149.3403572,1.506397783,0.996805805,2.1394761,0.008613944,june
257.2439221,609,239.559598,26,-196.6848323,1.695571997,0.999043806,1.350015405,0.005298877,june
273.3440699,668,265.6265679,26,-184.4488381,1.646914201,0.998190287,1.918769893,0.007083635,june
133.6440202,0,207.6409454,30,310.0982032,-0.766594964,0.996123614,0.63367815,0.004830697,june
18.64812364,112,172.6847917,30,176.8373982,-0.225490492,0.976022085,0.057956105,0.003570188,june
31.99510345,180,172.1664599,30,170.1679826,0.062804091,0.716108548,0.118094288,0.003994493,june
42.79432527,272,175.781796,30,157.7912516,0.420201523,0.987497134,0.192695175,0.004776188,june
49.94423836,351,180.0647128,30,147.7266651,0.646509884,0.996478368,0.184379371,0.003882399,june
59.9942527,430,187.8624078,30,136.2060649,0.861741108,0.997843226,0.232854308,0.004047016,june
68.64426337,482,195.9219164,30,126.3578421,1.013167673,0.99844512,0.267310042,0.004038822,june
79.49409072,541,207.7271275,30,118.5763457,1.12119702,0.998431252,0.345829091,0.004489381,june
107.2942471,609,203.9377598,30,86.89921584,1.090639063,0.997683809,0.556470492,0.00530834,june
117.4941025,668,216.4062333,30,64.60088056,1.291931315,0.996982334,0.825893388,0.007179898,june
133.6440202,0,267.84979,34,439.3869505,-1.283807977,0.994814987,1.228145135,0.009362478,june
16.44416633,112,172.0150576,34,174.0577996,-0.122100833,0.841066706,0.116141634,0.008270188,june
32.14440098,180,177.9830232,34,154.7922383,0.721746894,0.994636863,0.159057886,0.005353639,june
38.44380163,272,185.9099608,34,136.2010607,1.291081687,0.997037901,0.255897073,0.00710861,june
52.24523113,351,207.2470476,34,121.3586805,1.645485374,0.996233289,0.508890971,0.010220723,june
60.69385545,430,225.8190287,34,97.23257453,2.123972175,0.995344726,0.854517817,0.014673093,june
68.74391903,482,243.0377422,34,101.239737,2.059060026,0.996040329,0.869287078,0.013114359,june
79.74376781,541,269.9918784,34,73.53647272,2.463194758,0.992426136,1.679875898,0.021736788,june
109.0448253,609,260.5751803,34,-23.74194929,2.608624337,0.997699769,1.348519863,0.012652731,june
115.8938012,668,277.5719588,34,-45.32494382,2.787731357,0.994525133,2.369950242,0.020893768,june
284.2106925,0,239.474567,51,549.7140488,-1.091908456,0.995835013,2.009715808,0.007133231,june
163.8604405,112,200.4050049,51,275.4034841,-0.45684103,0.984348544,0.939158428,0.005819089,june
170.0114234,180,198.35265,51,197.9224576,0.002698551,0.887740613,1.425896668,0.008510646,june
186.1791791,272,201.0408376,51,136.3149593,0.347606149,0.98222813,0.867630564,0.004723183,june
192.4285412,351,203.7286332,51,116.6653734,0.452429775,0.982151331,1.170334496,0.006161009,june
208.5289387,430,215.7024031,51,36.97677343,0.857159053,0.989805825,1.810665896,0.008787178,june
225.3440968,482,231.2504153,51,-33.70120747,1.174736836,0.982294861,3.550717353,0.015931486,june
249.193686,541,212.017388,51,-71.07916218,1.135826393,0.992175599,2.513859951,0.010188968,june
258.1438958,609,221.9287639,51,-92.18990553,1.216418337,0.99572597,2.05828299,0.008050425,june
274.2441953,668,246.3566565,51,-155.912542,1.466677981,0.996263624,2.465852063,0.009073188,june
134.4442008,0,204.962686,54,329.3948786,-0.925409254,0.996150032,0.766984311,0.005811483,june
19.44619675,112,174.600377,54,181.4112826,-0.351943192,0.978079735,0.090639748,0.00532225,june
26.84456675,180,173.3936421,54,169.5031608,0.137596409,0.751802011,0.122509031,0.005018363,june
42.99457185,272,178.3031984,54,153.9617803,0.56522854,0.992789086,0.197293795,0.004866063,june
51.74392508,351,184.8298384,54,143.0871716,0.806233965,0.996519785,0.237229924,0.004812914,june
58.59356225,430,191.0496626,54,136.0091031,0.938864648,0.997857295,0.246713146,0.004394778,june
66.5435602,482,198.9361948,54,132.4717663,0.996162924,0.997371838,0.331036239,0.00516553,june
76.49366264,541,209.6742015,54,126.5994558,1.086699244,0.996596848,0.474902015,0.006414713,june
107.6447872,609,205.4874774,54,93.47222076,1.040329385,0.994473109,0.824010365,0.007834328,june
115.6941478,668,213.895439,54,78.35606286,1.173682914,0.994588939,0.990178069,0.008744947,june
289.1608513,0,269.8664282,58,486.2383231,-0.748298384,0.994502651,1.611193005,0.005619989,june
